CONVERSION_ID	TYPE	VARIANT	SYSTEM	FACT	DIV	OFFS	PhOf	UNIT	Remark	Parameters
CALC_L1_F1_D1_O0_P0	LINEAR	0	METRIC	1	1	0	0	kmh	Torque: A	
CALC_L1_F100_D161_O0_P0	LINEAR	0	METRIC	100	161	0	0	mph	Torque: (A/1.61)	
CALC_L2_F1_D10_O0_P0	LINEAR	0	METRIC	1	10	0	0	Ah	Torque: ((A*256)+B)/10	
CALC_L2_F1_D100_O0_P0	LINEAR	0	METRIC	1	100	0	0	Ah	Torque: ((A*256)+B)/100	
CALC_L2_F32_D1000_O0_P0	LINEAR	0	METRIC	32	1000	0	0	kWh	Torque: ((A*256)+B)*0.032	
CALC_L2_F32_D10000_O0_P0	LINEAR	0	METRIC	32	10000	0	0	kWh	Torque: ((A*256)+B)*0.0032	
CALC_L1_F100_D255_O0_P0	LINEAR	0	METRIC	100	255	0	0	%	Torque: A*100/255	
CALC_L2_F100_D65535_O0_P0	LINEAR	0	METRIC	100	65535	0	0	%	Torque: ((((A*256)+B)*100)/65535)	
CALC_L2_F1_D2_O0_P0	LINEAR	0	METRIC	1	2	0	0	A	Torque: ((Signed(A)*256)+B)/20	
CALC_L2_F1_D1_O0_P0	LINEAR	0	METRIC	1	1	0	0		Torque: ((A*256)+B)	
CALC_L2_F2_D1_O0_P0	LINEAR	0	METRIC	2	1	0	0	sec	Torque: ((A*256)+B)*2	
CALC_L2_F5_D65535_O0_P5	LINEAR	0	METRIC	5	65535	0	5	V	Torque: 5+((SIGNED(A)*256+B)*5/65535)	
CALC_L1_F2_D1_O0_P0	LINEAR	0	METRIC	2	1	0	0	RPM	Torque: (A*25)	
CALC_L1_F1_D1_ONEG40_P0	LINEAR	0	METRIC	1	1	-40	0	C	Torque: A-40	
CALC_L1_F9_D5_ONEG40_P32	LINEAR	0	METRIC	9	5	-40	32	F	Torque: ((A-40)*9/5)+32	
CALC_L2_F1000_D1666666_O0_P0	LINEAR	0	METRIC	1000	1666666	0	0	V	Torque: ((A*256)+B)/1666.666	
CALC_L2_F5_D65535_O0_P0	LINEAR	0	METRIC	5	65535	0	0	V	Torque: ((A*256)+B)*5/65535	
CALC_L2_F1_D8000_O0_P0	LINEAR	0	METRIC	1	8000	0	0	V	Torque: ((A*256)+B)/8000	
CALC_L2_F52_D100_O0_P0	LINEAR	0	METRIC	52	100	0	0	V	Torque: ((A*256)+B)*0.52	
CALC_L1_F1_D2_O0_P0	LINEAR	0	METRIC	1	2	0	0	V	Torque: 5*(A/255)	
CALC_L1_F2_D10_O0_P0	LINEAR	0	METRIC	2	10	0	0	A	Torque: A*.2	
CALC_L1_F3_D10_O0_P0	LINEAR	0	METRIC	3	10	0	0	A	Torque: A*0.3	
