svc	pid	ofs	len	bit_ofs	bit_len	bit_mask	formula	format	min	max	label
22	000D	0	1	0	8		CALC_L1_F1_D1_O0_P0	%.1f	0	160	*Speed kmh
22	000D	0	1	0	8		CALC_L1_F100_D161_O0_P0	%.1f	0	100	*Speed mph
22	41A3	0	2	0	16		CALC_L2_F1_D10_O0_P0	%.1f	100	250	!Battery - Pack - Capacity Ah Raw 2017-2018
22	45F9	0	2	0	16		CALC_L2_F1_D100_O0_P0	%.1f	100	250	!Battery - Pack - Capacity Ah Raw 2019+
22	41A3	0	2	0	16		CALC_L2_F32_D1000_O0_P0	%.1f	30	70	-Battery - Pack - Capacity kWh estimated 2017-2018 - Bad calc
22	45F9	0	2	0	16		CALC_L2_F32_D10000_O0_P0	%.1f	30	70	-Battery - Pack - Capacity kWh estimated 2019+ - Bad Calc
22	8334	0	1	0	8		CALC_L1_F100_D255_O0_P0	%.1f	0	100	!Battery - Pack - State of Charge Displayed
22	43AF	0	2	0	16		CALC_L2_F100_D65535_O0_P0	%.1f	0	105	!Battery - Pack - State of Charge Raw HD
01	5B	0	1	0	8		CALC_L1_F100_D255_O0_P0	%.1f	0	100	*Battery - Pack - State of Charge Raw LD
22	2411	0	1	0	8		CALC_L1_F100_D255_O0_P0	%.1f	0	255	*Battery - Pack - State of Charge Raw LD 2
22	432F	0	1	0	8		CALC_L1_F100_D255_O0_P0	%.1f	0	100	*Battery - Pack - State of Charge Raw LD 3
22	435F	0	1	0	8		CALC_L1_F100_D255_O0_P0	%.1f	0	100	!Battery - Pack - State of Charge Variation
22	40D4	0	2	0	16		CALC_L2_F1_D2_O0_P0	%.1f	-400	250	!Battery - Pack - Current HD
22	43A5	0	2	0	16		CALC_L2_F1_D1_O0_P0	%.1f	0	1000	*Battery - Number of Charges
22	24AC	0	2	0	16		CALC_L2_F2_D1_O0_P0	%.1f	0	999999	*Battery - Thermal Conditioning Inactive Time
22	40D3	0	2	0	16		CALC_L2_F5_D65535_O0_P5	%.1f	0	6	*Battery - 5V Reference Voltage 1
22	4371	0	2	0	16		CALC_L2_F1_D1_O0_P0	%.1f	0	65535	?Battery - Status Bitmap
22	41B5	0	2	0	16		CALC_L2_F1_D1_O0_P0	%.1f	0	2500	*Battery - Heater - Command W
22	41B6	0	2	0	16		CALC_L2_F1_D1_O0_P0	%.1f	0	2500	!Battery - Heater - Measured W
22	439E	0	1	0	8		CALC_L1_F100_D255_O0_P0	%.1f	0	100	*Battery - Heater - Command %
22	4359	0	1	0	8		CALC_L1_F100_D255_O0_P0	%.1f	0	100	*Battery - Coolant Pump Commanded %
22	435A	0	1	0	8		CALC_L1_F2_D1_O0_P0	%.1f	0	6500	!Battery - Coolant Pump Speed
22	41A4	0	1	0	8		CALC_L1_F1_D1_ONEG40_P0	%.1f	-40	100	!Battery - Coolant Temp
22	41A5	0	1	0	8		CALC_L1_F1_D1_O0_P0	%.1f	0	255	?Battery - Unknown 41A5
22	40D7	0	1	0	8		CALC_L1_F1_D1_ONEG40_P0	%.1f	-40	80	*Battery - Pack Temp - 1
22	40D9	0	1	0	8		CALC_L1_F1_D1_ONEG40_P0	%.1f	-40	80	*Battery - Pack Temp - 2
22	40DB	0	1	0	8		CALC_L1_F1_D1_ONEG40_P0	%.1f	-40	80	*Battery - Pack Temp - 3
22	40DD	0	1	0	8		CALC_L1_F1_D1_ONEG40_P0	%.1f	-40	80	*Battery - Pack Temp - 4
22	40DF	0	1	0	8		CALC_L1_F1_D1_ONEG40_P0	%.1f	-40	80	*Battery - Pack Temp - 5
22	40E1	0	1	0	8		CALC_L1_F1_D1_ONEG40_P0	%.1f	-40	80	*Battery - Pack Temp - 6
22	4349	0	1	0	8		CALC_L1_F1_D1_ONEG40_P0	%.1f	-40	80	*Battery - Pack Temp - Max Temp
22	434A	0	1	0	8		CALC_L1_F1_D1_ONEG40_P0	%.1f	-40	80	*Battery - Pack Temp - Min Temp
22	434F	0	1	0	8		CALC_L1_F1_D1_ONEG40_P0	%.1f	-40	80	!Battery - Pack Temp - Avg Temp
22	2416	0	1	0	8		CALC_L1_F1_D1_ONEG40_P0	%.1f	-40	80	-Battery - Pack Temp - Max - Alt
22	2417	0	1	0	8		CALC_L1_F1_D1_ONEG40_P0	%.1f	-40	80	-Battery - Pack Temp - Min - Alt
